,sample_size,c,m0,m0_{ICU},m0_{C},dC,dC_R,dC_D,dICU,dICU_R,dICU_D,dICUrec
"[0, 10)",2,1.0,0.0,0.0,0.0,,,,,,,
"[10, 20)",7,1.0,0.0,0.0,0.0,2.749603,2.749603,,,,,
"[20, 30)",9,0.8,0.0,0.0,0.0,5.0,5.0,,0.0,0.0,,5.0
"[30, 40)",9,0.875,0.0,0.0,0.0,5.6599204285714295,5.6599204285714295,,12.0,12.0,,10.0
"[40, 50)",33,0.78125,0.09375,0.14285714285714285,0.08,5.506805280000001,5.507397043478261,5.5,15.029562428571428,14.682059333333333,17.114581,4.857142857142857
"[50, 60)",67,0.7419354838709677,0.03225806451612903,0.0625,0.021739130434782608,6.8347370869565225,6.955910266666668,1.381944,10.779253124999999,8.200185,49.465275,8.052647499999999
"[60, 70)",62,0.6129032258064516,0.06451612903225806,0.16666666666666666,0.0,8.991191263157896,8.991191263157896,,8.718546958333334,8.06114535,12.005555,3.4731190833333336
"[70, 80)",74,0.6428571428571429,0.2714285714285714,0.44,0.17777777777777778,8.274613466666665,8.413381513513512,7.6328112500000005,18.80399888,13.524304785714289,25.52360954545454,8.76713844
"[80, 120)",107,0.8823529411764706,0.4117647058823529,0.5833333333333334,0.36666666666666664,8.558533033333335,10.082991298245615,5.925377848484848,8.90445525,7.615693599999998,9.824999285714286,6.353760833333332
average,370,0.7528735632183908,0.20114942528735633,0.813953488372093,0.26717557251908397,7.691700568702289,8.01029195412844,6.1132250681818165,12.51015754651163,9.866722145161289,19.339032333333336,6.4723349883720935
