date,NIS,age,e_s,e_i,e_h
2020-12-28,11000,"[0, 12)",0.0,0.0,0.0
2020-12-28,11000,"[12, 18)",0.0,0.0,0.0
2020-12-28,11000,"[18, 25)",0.0,0.0,0.0
2020-12-28,11000,"[25, 35)",0.0,0.0,0.0
2020-12-28,11000,"[35, 45)",0.0,0.0,0.0
2020-12-28,11000,"[45, 55)",0.0,0.0,0.0
2020-12-28,11000,"[55, 65)",0.0,0.0,0.0
2020-12-28,11000,"[65, 75)",0.0,0.0,0.0
2020-12-28,11000,"[75, 85)",0.0,0.0,0.0
2020-12-28,11000,"[85, 120)",0.0,0.0,0.0
2020-12-28,12000,"[0, 12)",0.0,0.0,0.0
2020-12-28,12000,"[12, 18)",0.0,0.0,0.0
2020-12-28,12000,"[18, 25)",0.0,0.0,0.0
2020-12-28,12000,"[25, 35)",0.0,0.0,0.0
2020-12-28,12000,"[35, 45)",0.0,0.0,0.0
2020-12-28,12000,"[45, 55)",0.0,0.0,0.0
2020-12-28,12000,"[55, 65)",0.0,0.0,0.0
2020-12-28,12000,"[65, 75)",0.0,0.0,0.0
2020-12-28,12000,"[75, 85)",0.0,0.0,0.0
2020-12-28,12000,"[85, 120)",0.0,0.0,0.0
2020-12-28,13000,"[0, 12)",0.0,0.0,0.0
2020-12-28,13000,"[12, 18)",0.0,0.0,0.0
2020-12-28,13000,"[18, 25)",0.0,0.0,0.0
2020-12-28,13000,"[25, 35)",0.0,0.0,0.0
2020-12-28,13000,"[35, 45)",0.0,0.0,0.0
2020-12-28,13000,"[45, 55)",0.0,0.0,0.0
2020-12-28,13000,"[55, 65)",0.0,0.0,0.0
2020-12-28,13000,"[65, 75)",0.0,0.0,0.0
2020-12-28,13000,"[75, 85)",0.0,0.0,0.0
2020-12-28,13000,"[85, 120)",0.0,0.0,0.0
2020-12-28,21000,"[0, 12)",0.0,0.0,0.0
2020-12-28,21000,"[12, 18)",0.0,0.0,0.0
2020-12-28,21000,"[18, 25)",0.0,0.0,0.0
2020-12-28,21000,"[25, 35)",0.0,0.0,0.0
2020-12-28,21000,"[35, 45)",0.0,0.0,0.0
