date,NIS,age,dose,CUMULATIVE,INCIDENCE
2020-12-28,10000,"[12, 18)",A,0.0,0.0
2020-12-28,10000,"[12, 18)",B,0.0,0.0
2020-12-28,10000,"[12, 18)",C,0.0,0.0
2020-12-28,10000,"[12, 18)",E,0.0,0.0
2020-12-28,10000,"[18, 25)",A,0.0,0.0
2020-12-28,10000,"[18, 25)",B,0.0,0.0
2020-12-28,10000,"[18, 25)",C,0.0,0.0
2020-12-28,10000,"[18, 25)",E,0.0,0.0
2020-12-28,10000,"[25, 35)",A,0.0,15.0
2020-12-28,10000,"[25, 35)",B,0.0,0.0
2020-12-28,10000,"[25, 35)",C,0.0,0.0
2020-12-28,10000,"[25, 35)",E,0.0,0.0
2020-12-28,10000,"[35, 45)",A,0.0,0.0
2020-12-28,10000,"[35, 45)",B,0.0,0.0
2020-12-28,10000,"[35, 45)",C,0.0,0.0
2020-12-28,10000,"[35, 45)",E,0.0,0.0
2020-12-28,10000,"[45, 55)",A,0.0,74.0
2020-12-28,10000,"[45, 55)",B,0.0,0.0
2020-12-28,10000,"[45, 55)",C,0.0,0.0
2020-12-28,10000,"[45, 55)",E,0.0,0.0
2020-12-28,10000,"[55, 65)",A,0.0,76.0
2020-12-28,10000,"[55, 65)",B,0.0,0.0
2020-12-28,10000,"[55, 65)",C,0.0,0.0
2020-12-28,10000,"[55, 65)",E,0.0,0.0
2020-12-28,10000,"[65, 75)",A,10.0,43.0
2020-12-28,10000,"[65, 75)",B,0.0,0.0
2020-12-28,10000,"[65, 75)",C,0.0,0.0
2020-12-28,10000,"[65, 75)",E,0.0,0.0
2020-12-28,10000,"[75, 85)",A,23.0,439.0
2020-12-28,10000,"[75, 85)",B,0.0,0.0
2020-12-28,10000,"[75, 85)",C,0.0,0.0
2020-12-28,10000,"[75, 85)",E,0.0,0.0
2020-12-28,10000,"[85, 120)",A,62.0,971.0
2020-12-28,10000,"[85, 120)",B,0.0,0.0
2020-12-28,10000,"[85, 120)",C,0.0,0.0
2020-12-28,10000,"[85, 120)",E,0.0,0.0
2020-12-28,20001,"[12, 18)",A,0.0,0.0
2020-12-28,20001,"[12, 18)",B,0.0,0.0
2020-12-28,20001,"[12, 18)",C,0.0,0.0
2020-12-28,20001,"[12, 18)",E,0.0,0.0
2020-12-28,20001,"[18, 25)",A,0.0,0.0
2020-12-28,20001,"[18, 25)",B,0.0,0.0
2020-12-28,20001,"[18, 25)",C,0.0,0.0
2020-12-28,20001,"[18, 25)",E,0.0,0.0
2020-12-28,20001,"[25, 35)",A,0.0,12.0
