date,age,dose,CUMULATIVE,INCIDENCE
2020-12-28,"[0, 12)",A,0.0,0.0
2020-12-28,"[0, 12)",B,0.0,0.0
2020-12-28,"[0, 12)",C,0.0,0.0
2020-12-28,"[0, 12)",E,0.0,0.0
2020-12-28,"[12, 18)",A,0.0,0.0
2020-12-28,"[12, 18)",B,0.0,0.0
2020-12-28,"[12, 18)",C,0.0,0.0
2020-12-28,"[12, 18)",E,0.0,0.0
2020-12-28,"[18, 25)",A,0.0,10.0
2020-12-28,"[18, 25)",B,0.0,0.0
2020-12-28,"[18, 25)",C,0.0,0.0
2020-12-28,"[18, 25)",E,0.0,0.0
2020-12-28,"[25, 35)",A,0.0,462.0
2020-12-28,"[25, 35)",B,0.0,0.0
2020-12-28,"[25, 35)",C,0.0,0.0
2020-12-28,"[25, 35)",E,0.0,0.0
2020-12-28,"[35, 45)",A,12.0,672.0
2020-12-28,"[35, 45)",B,0.0,0.0
2020-12-28,"[35, 45)",C,0.0,0.0
2020-12-28,"[35, 45)",E,0.0,0.0
2020-12-28,"[45, 55)",A,12.0,1063.0
2020-12-28,"[45, 55)",B,0.0,0.0
2020-12-28,"[45, 55)",C,0.0,0.0
2020-12-28,"[45, 55)",E,0.0,0.0
2020-12-28,"[55, 65)",A,32.0,1542.0
2020-12-28,"[55, 65)",B,0.0,0.0
2020-12-28,"[55, 65)",C,0.0,0.0
2020-12-28,"[55, 65)",E,0.0,0.0
2020-12-28,"[65, 75)",A,50.0,1852.0
2020-12-28,"[65, 75)",B,0.0,0.0
2020-12-28,"[65, 75)",C,0.0,0.0
2020-12-28,"[65, 75)",E,0.0,0.0
2020-12-28,"[75, 85)",A,95.0,4936.0
2020-12-28,"[75, 85)",B,0.0,0.0
2020-12-28,"[75, 85)",C,0.0,0.0
2020-12-28,"[75, 85)",E,0.0,0.0
2020-12-28,"[85, 120)",A,353.0,10331.0
2020-12-28,"[85, 120)",B,0.0,0.0
2020-12-28,"[85, 120)",C,0.0,0.0
2020-12-28,"[85, 120)",E,0.0,0.0
2021-01-04,"[0, 12)",A,0.0,0.0
2021-01-04,"[0, 12)",B,0.0,0.0
2021-01-04,"[0, 12)",C,0.0,0.0
2021-01-04,"[0, 12)",E,0.0,0.0
2021-01-04,"[12, 18)",A,0.0,0.0
2021-01-04,"[12, 18)",B,0.0,0.0
2021-01-04,"[12, 18)",C,0.0,0.0
2021-01-04,"[12, 18)",E,0.0,0.0
