date,NIS,age,dose,CUMULATIVE,INCIDENCE
2020-12-28,11000,"[12, 18)",A,0.0,0.0
2020-12-28,11000,"[12, 18)",B,0.0,0.0
2020-12-28,11000,"[12, 18)",C,0.0,0.0
2020-12-28,11000,"[12, 18)",E,0.0,0.0
2020-12-28,11000,"[18, 25)",A,0.0,0.0
2020-12-28,11000,"[18, 25)",B,0.0,0.0
2020-12-28,11000,"[18, 25)",C,0.0,0.0
2020-12-28,11000,"[18, 25)",E,0.0,0.0
2020-12-28,11000,"[25, 35)",A,0.0,16.0
2020-12-28,11000,"[25, 35)",B,0.0,0.0
2020-12-28,11000,"[25, 35)",C,0.0,0.0
2020-12-28,11000,"[25, 35)",E,0.0,0.0
2020-12-28,11000,"[35, 45)",A,0.0,0.0
2020-12-28,11000,"[35, 45)",B,0.0,0.0
2020-12-28,11000,"[35, 45)",C,0.0,0.0
2020-12-28,11000,"[35, 45)",E,0.0,0.0
2020-12-28,11000,"[45, 55)",A,0.0,26.0
2020-12-28,11000,"[45, 55)",B,0.0,0.0
2020-12-28,11000,"[45, 55)",C,0.0,0.0
2020-12-28,11000,"[45, 55)",E,0.0,0.0
2020-12-28,11000,"[55, 65)",A,0.0,30.0
2020-12-28,11000,"[55, 65)",B,0.0,0.0
2020-12-28,11000,"[55, 65)",C,0.0,0.0
2020-12-28,11000,"[55, 65)",E,0.0,0.0
2020-12-28,11000,"[65, 75)",A,0.0,15.0
2020-12-28,11000,"[65, 75)",B,0.0,0.0
2020-12-28,11000,"[65, 75)",C,0.0,0.0
2020-12-28,11000,"[65, 75)",E,0.0,0.0
2020-12-28,11000,"[75, 85)",A,0.0,135.0
2020-12-28,11000,"[75, 85)",B,0.0,0.0
2020-12-28,11000,"[75, 85)",C,0.0,0.0
2020-12-28,11000,"[75, 85)",E,0.0,0.0
2020-12-28,11000,"[85, 120)",A,0.0,339.0
2020-12-28,11000,"[85, 120)",B,0.0,0.0
2020-12-28,11000,"[85, 120)",C,0.0,0.0
2020-12-28,11000,"[85, 120)",E,0.0,0.0
2020-12-28,12000,"[12, 18)",A,0.0,0.0
2020-12-28,12000,"[12, 18)",B,0.0,0.0
2020-12-28,12000,"[12, 18)",C,0.0,0.0
2020-12-28,12000,"[12, 18)",E,0.0,0.0
2020-12-28,12000,"[18, 25)",A,0.0,0.0
2020-12-28,12000,"[18, 25)",B,0.0,0.0
2020-12-28,12000,"[18, 25)",C,0.0,0.0
2020-12-28,12000,"[18, 25)",E,0.0,0.0
2020-12-28,12000,"[25, 35)",A,0.0,0.0
2020-12-28,12000,"[25, 35)",B,0.0,0.0
2020-12-28,12000,"[25, 35)",C,0.0,0.0
2020-12-28,12000,"[25, 35)",E,0.0,0.0
2020-12-28,12000,"[35, 45)",A,0.0,0.0
2020-12-28,12000,"[35, 45)",B,0.0,0.0
2020-12-28,12000,"[35, 45)",C,0.0,0.0
2020-12-28,12000,"[35, 45)",E,0.0,0.0
2020-12-28,12000,"[45, 55)",A,0.0,23.0
2020-12-28,12000,"[45, 55)",B,0.0,0.0
2020-12-28,12000,"[45, 55)",C,0.0,0.0
2020-12-28,12000,"[45, 55)",E,0.0,0.0
2020-12-28,12000,"[55, 65)",A,0.0,14.0
2020-12-28,12000,"[55, 65)",B,0.0,0.0
2020-12-28,12000,"[55, 65)",C,0.0,0.0
2020-12-28,12000,"[55, 65)",E,0.0,0.0
2020-12-28,12000,"[65, 75)",A,10.0,17.0
2020-12-28,12000,"[65, 75)",B,0.0,0.0
2020-12-28,12000,"[65, 75)",C,0.0,0.0
2020-12-28,12000,"[65, 75)",E,0.0,0.0
2020-12-28,12000,"[75, 85)",A,23.0,123.0
2020-12-28,12000,"[75, 85)",B,0.0,0.0
2020-12-28,12000,"[75, 85)",C,0.0,0.0
2020-12-28,12000,"[75, 85)",E,0.0,0.0
2020-12-28,12000,"[85, 120)",A,62.0,329.0
2020-12-28,12000,"[85, 120)",B,0.0,0.0
2020-12-28,12000,"[85, 120)",C,0.0,0.0
2020-12-28,12000,"[85, 120)",E,0.0,0.0
2020-12-28,13000,"[12, 18)",A,0.0,0.0
2020-12-28,13000,"[12, 18)",B,0.0,0.0
2020-12-28,13000,"[12, 18)",C,0.0,0.0
2020-12-28,13000,"[12, 18)",E,0.0,0.0
2020-12-28,13000,"[18, 25)",A,0.0,0.0
2020-12-28,13000,"[18, 25)",B,0.0,0.0
2020-12-28,13000,"[18, 25)",C,0.0,0.0
2020-12-28,13000,"[18, 25)",E,0.0,0.0
2020-12-28,13000,"[25, 35)",A,0.0,0.0
2020-12-28,13000,"[25, 35)",B,0.0,0.0
2020-12-28,13000,"[25, 35)",C,0.0,0.0
2020-12-28,13000,"[25, 35)",E,0.0,0.0
2020-12-28,13000,"[35, 45)",A,0.0,0.0
2020-12-28,13000,"[35, 45)",B,0.0,0.0
2020-12-28,13000,"[35, 45)",C,0.0,0.0
2020-12-28,13000,"[35, 45)",E,0.0,0.0
2020-12-28,13000,"[45, 55)",A,0.0,25.0
2020-12-28,13000,"[45, 55)",B,0.0,0.0
2020-12-28,13000,"[45, 55)",C,0.0,0.0
2020-12-28,13000,"[45, 55)",E,0.0,0.0
2020-12-28,13000,"[55, 65)",A,0.0,33.0
2020-12-28,13000,"[55, 65)",B,0.0,0.0
2020-12-28,13000,"[55, 65)",C,0.0,0.0
2020-12-28,13000,"[55, 65)",E,0.0,0.0
2020-12-28,13000,"[65, 75)",A,0.0,12.0
2020-12-28,13000,"[65, 75)",B,0.0,0.0
2020-12-28,13000,"[65, 75)",C,0.0,0.0
2020-12-28,13000,"[65, 75)",E,0.0,0.0
2020-12-28,13000,"[75, 85)",A,0.0,181.0
2020-12-28,13000,"[75, 85)",B,0.0,0.0
2020-12-28,13000,"[75, 85)",C,0.0,0.0
2020-12-28,13000,"[75, 85)",E,0.0,0.0
2020-12-28,13000,"[85, 120)",A,0.0,303.0
2020-12-28,13000,"[85, 120)",B,0.0,0.0
2020-12-28,13000,"[85, 120)",C,0.0,0.0
2020-12-28,13000,"[85, 120)",E,0.0,0.0
2020-12-28,21000,"[12, 18)",A,0.0,0.0
2020-12-28,21000,"[12, 18)",B,0.0,0.0
2020-12-28,21000,"[12, 18)",C,0.0,0.0
2020-12-28,21000,"[12, 18)",E,0.0,0.0
2020-12-28,21000,"[18, 25)",A,0.0,0.0
2020-12-28,21000,"[18, 25)",B,0.0,0.0
2020-12-28,21000,"[18, 25)",C,0.0,0.0
2020-12-28,21000,"[18, 25)",E,0.0,0.0
2020-12-28,21000,"[25, 35)",A,0.0,59.0
2020-12-28,21000,"[25, 35)",B,0.0,0.0
2020-12-28,21000,"[25, 35)",C,0.0,0.0
2020-12-28,21000,"[25, 35)",E,0.0,0.0
2020-12-28,21000,"[35, 45)",A,0.0,38.0
2020-12-28,21000,"[35, 45)",B,0.0,0.0
2020-12-28,21000,"[35, 45)",C,0.0,0.0
2020-12-28,21000,"[35, 45)",E,0.0,0.0
2020-12-28,21000,"[45, 55)",A,0.0,111.0
2020-12-28,21000,"[45, 55)",B,0.0,0.0
2020-12-28,21000,"[45, 55)",C,0.0,0.0
2020-12-28,21000,"[45, 55)",E,0.0,0.0
2020-12-28,21000,"[55, 65)",A,0.0,363.0
2020-12-28,21000,"[55, 65)",B,0.0,0.0
2020-12-28,21000,"[55, 65)",C,0.0,0.0
2020-12-28,21000,"[55, 65)",E,0.0,0.0
2020-12-28,21000,"[65, 75)",A,0.0,583.0
2020-12-28,21000,"[65, 75)",B,0.0,0.0
