date,NIS,age,dose,fraction,E_susc,E_inf,E_hosp
2020-12-28,10000,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,10000,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,10000,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,10000,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,10000,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[18, 25)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[18, 25)",first,0.0,0.0,0.0,0.0
2020-12-28,10000,"[18, 25)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[18, 25)",none,1.0,1.0,1.0,1.0
2020-12-28,10000,"[18, 25)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[25, 35)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[25, 35)",first,6.623722863435394e-05,0.0,0.0,0.0
2020-12-28,10000,"[25, 35)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[25, 35)",none,0.9999337627713657,1.0,1.0,1.0
2020-12-28,10000,"[25, 35)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[35, 45)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[35, 45)",first,0.0,0.0,0.0,0.0
2020-12-28,10000,"[35, 45)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[35, 45)",none,1.0,1.0,1.0,1.0
2020-12-28,10000,"[35, 45)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[45, 55)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[45, 55)",first,0.00029680612543668604,0.0,0.0,0.0
2020-12-28,10000,"[45, 55)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[45, 55)",none,0.9997031938745633,1.0,1.0,1.0
2020-12-28,10000,"[45, 55)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[55, 65)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[55, 65)",first,0.00030495170277902093,0.0,0.0,0.0
2020-12-28,10000,"[55, 65)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[55, 65)",none,0.999695048297221,1.0,1.0,1.0
2020-12-28,10000,"[55, 65)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[65, 75)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[65, 75)",first,0.00023214709684227184,0.0,0.0,0.0
2020-12-28,10000,"[65, 75)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[65, 75)",none,0.9997678529031577,1.0,1.0,1.0
2020-12-28,10000,"[65, 75)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[75, 85)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[75, 85)",first,0.0036579980168484558,0.0,0.0,0.0
2020-12-28,10000,"[75, 85)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[75, 85)",none,0.9963420019831516,1.0,1.0,1.0
2020-12-28,10000,"[75, 85)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,10000,"[85, 120)",booster,0.0,0.0,0.0,0.0
2020-12-28,10000,"[85, 120)",first,0.017524545192030026,0.0,0.0,0.0
2020-12-28,10000,"[85, 120)",full,0.0,0.0,0.0,0.0
2020-12-28,10000,"[85, 120)",none,0.9824754548079699,1.0,1.0,1.0
2020-12-28,10000,"[85, 120)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,20001,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,20001,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,20001,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,20001,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[18, 25)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[18, 25)",first,0.0,0.0,0.0,0.0
2020-12-28,20001,"[18, 25)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[18, 25)",none,1.0,1.0,1.0,1.0
2020-12-28,20001,"[18, 25)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[25, 35)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[25, 35)",first,0.00010227488567128854,0.0,0.0,0.0
2020-12-28,20001,"[25, 35)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[25, 35)",none,0.9998977251143287,1.0,1.0,1.0
2020-12-28,20001,"[25, 35)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[35, 45)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[35, 45)",first,0.00011410085172929909,0.0,0.0,0.0
2020-12-28,20001,"[35, 45)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[35, 45)",none,0.9998858991482708,1.0,1.0,1.0
2020-12-28,20001,"[35, 45)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[45, 55)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[45, 55)",first,0.00016942452137572712,0.0,0.0,0.0
2020-12-28,20001,"[45, 55)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[45, 55)",none,0.9998305754786243,1.0,1.0,1.0
2020-12-28,20001,"[45, 55)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[55, 65)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[55, 65)",first,0.000384640041028271,0.0,0.0,0.0
2020-12-28,20001,"[55, 65)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[55, 65)",none,0.9996153599589718,1.0,1.0,1.0
2020-12-28,20001,"[55, 65)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[65, 75)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[65, 75)",first,0.00026820785243376996,0.0,0.0,0.0
2020-12-28,20001,"[65, 75)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[65, 75)",none,0.9997317921475662,1.0,1.0,1.0
2020-12-28,20001,"[65, 75)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[75, 85)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[75, 85)",first,0.004124982869672468,0.0,0.0,0.0
2020-12-28,20001,"[75, 85)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[75, 85)",none,0.9958750171303276,1.0,1.0,1.0
2020-12-28,20001,"[75, 85)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20001,"[85, 120)",booster,0.0,0.0,0.0,0.0
2020-12-28,20001,"[85, 120)",first,0.021420831828411084,0.0,0.0,0.0
2020-12-28,20001,"[85, 120)",full,0.0,0.0,0.0,0.0
2020-12-28,20001,"[85, 120)",none,0.978579168171589,1.0,1.0,1.0
2020-12-28,20001,"[85, 120)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,20002,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,20002,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,20002,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,20002,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[18, 25)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[18, 25)",first,0.0,0.0,0.0,0.0
2020-12-28,20002,"[18, 25)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[18, 25)",none,1.0,1.0,1.0,1.0
2020-12-28,20002,"[18, 25)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[25, 35)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[25, 35)",first,0.00021153724113130113,0.0,0.0,0.0
2020-12-28,20002,"[25, 35)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[25, 35)",none,0.9997884627588687,1.0,1.0,1.0
2020-12-28,20002,"[25, 35)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[35, 45)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[35, 45)",first,0.00045547260233281183,0.0,0.0,0.0
2020-12-28,20002,"[35, 45)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[35, 45)",none,0.9995445273976672,1.0,1.0,1.0
2020-12-28,20002,"[35, 45)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[45, 55)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[45, 55)",first,0.0007560173708177294,0.0,0.0,0.0
2020-12-28,20002,"[45, 55)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[45, 55)",none,0.9992439826291822,1.0,1.0,1.0
2020-12-28,20002,"[45, 55)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[55, 65)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[55, 65)",first,0.0009982069245984065,0.0,0.0,0.0
2020-12-28,20002,"[55, 65)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[55, 65)",none,0.9990017930754016,1.0,1.0,1.0
2020-12-28,20002,"[55, 65)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[65, 75)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[65, 75)",first,0.0022312608948285876,0.0,0.0,0.0
2020-12-28,20002,"[65, 75)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[65, 75)",none,0.9977687391051714,1.0,1.0,1.0
2020-12-28,20002,"[65, 75)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[75, 85)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[75, 85)",first,0.008761730753259696,0.0,0.0,0.0
2020-12-28,20002,"[75, 85)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[75, 85)",none,0.9912382692467403,1.0,1.0,1.0
2020-12-28,20002,"[75, 85)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,20002,"[85, 120)",booster,0.0,0.0,0.0,0.0
2020-12-28,20002,"[85, 120)",first,0.048484848484848485,0.0,0.0,0.0
2020-12-28,20002,"[85, 120)",full,0.0,0.0,0.0,0.0
2020-12-28,20002,"[85, 120)",none,0.9515151515151515,1.0,1.0,1.0
2020-12-28,20002,"[85, 120)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,21000,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,21000,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,21000,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,21000,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[18, 25)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[18, 25)",first,0.0,0.0,0.0,0.0
2020-12-28,21000,"[18, 25)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[18, 25)",none,1.0,1.0,1.0,1.0
2020-12-28,21000,"[18, 25)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[25, 35)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[25, 35)",first,0.00028273766736632255,0.0,0.0,0.0
2020-12-28,21000,"[25, 35)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[25, 35)",none,0.9997172623326337,1.0,1.0,1.0
2020-12-28,21000,"[25, 35)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[35, 45)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[35, 45)",first,0.00020387797366755014,0.0,0.0,0.0
2020-12-28,21000,"[35, 45)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[35, 45)",none,0.9997961220263325,1.0,1.0,1.0
2020-12-28,21000,"[35, 45)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[45, 55)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[45, 55)",first,0.000697450848565199,0.0,0.0,0.0
2020-12-28,21000,"[45, 55)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[45, 55)",none,0.9993025491514348,1.0,1.0,1.0
2020-12-28,21000,"[45, 55)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[55, 65)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[55, 65)",first,0.0029516274607059513,0.0,0.0,0.0
2020-12-28,21000,"[55, 65)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[55, 65)",none,0.997048372539294,1.0,1.0,1.0
2020-12-28,21000,"[55, 65)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[65, 75)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[65, 75)",first,0.007059820779849842,0.0,0.0,0.0
2020-12-28,21000,"[65, 75)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[65, 75)",none,0.9929401792201502,1.0,1.0,1.0
2020-12-28,21000,"[65, 75)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[75, 85)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[75, 85)",first,0.018452747078315047,0.0,0.0,0.0
2020-12-28,21000,"[75, 85)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[75, 85)",none,0.981547252921685,1.0,1.0,1.0
2020-12-28,21000,"[75, 85)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,21000,"[85, 120)",booster,0.0,0.0,0.0,0.0
2020-12-28,21000,"[85, 120)",first,0.06594273690538813,0.0,0.0,0.0
2020-12-28,21000,"[85, 120)",full,0.0,0.0,0.0,0.0
2020-12-28,21000,"[85, 120)",none,0.9340572630946119,1.0,1.0,1.0
2020-12-28,21000,"[85, 120)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,30000,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,30000,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,30000,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,30000,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[18, 25)",booster,0.0,0.0,0.0,0.0
